Id,Date,RobotID,UserID,Successful
360,"2020-02-11 04:44:25",7499,399,1
361,"2020-02-11 04:45:04",7532,399,1
362,"2020-02-11 04:45:42",7517,983,1
363,"2020-02-11 04:47:00",7517,983,0
364,"2020-02-11 04:48:27",7530,983,1
365,"2020-02-11 05:49:02",7414,399,1
366,"2020-02-11 12:16:27",7499,847,0
367,"2020-02-14 10:32:32",7499,995,0
368,"2020-02-14 10:33:26",7499,995,0
369,"2020-02-14 10:33:47",7499,995,0
370,"2020-02-14 10:33:51",7499,995,0
371,"2020-02-14 10:34:01",7499,995,0
372,"2020-02-14 10:34:12",7499,995,0
373,"2020-02-14 10:35:13",7499,995,0
374,"2020-02-14 10:35:17",7499,995,0
375,"2020-02-14 10:35:25",7499,995,0
376,"2020-02-14 10:35:36",7499,995,0
377,"2020-02-14 10:35:54",7499,995,0
378,"2020-02-14 10:36:52",7499,995,0
379,"2020-02-23 19:20:26",7843,213,1
380,"2020-02-23 19:26:30",7854,213,1
381,"2020-02-23 19:37:36",7865,213,1
382,"2020-02-23 19:39:44",7866,213,1
383,"2020-02-23 20:04:55",7883,1018,1
384,"2020-02-24 17:03:52",8061,1018,1
385,"2020-02-24 17:07:16",8061,1018,0
386,"2020-02-24 17:08:49",8061,1018,0
387,"2020-02-24 17:10:14",8061,1018,0
388,"2020-02-24 17:11:54",8061,1018,0
389,"2020-02-24 17:19:36",8002,1018,1
390,"2020-02-24 17:32:08",8066,1018,1
391,"2020-02-29 14:29:40",8130,1032,1
392,"2020-02-29 16:14:33",8130,1033,0
393,"2020-02-29 20:28:57",8164,1033,1
394,"2020-03-11 07:16:32",8333,980,1
