Id,Entry,Date,UserID
374,by,"2019-05-29 17:05:22.578069",3
375,s,"2019-05-29 17:05:44.216543",1
376,br,"2019-05-29 17:05:46.868291",1
377,+,"2019-05-29 17:06:14.817568",3
378,bo,"2019-05-29 17:06:25.537083",1
379,y,"2019-05-29 17:06:38.286242",1
380,y,"2019-05-29 17:06:38.846264",3
381,"Yellow is an activist.","2019-05-29 17:06:45.219753",1
382,"he's voting trump","2019-05-29 17:06:49.804486",3
383,g,"2019-05-29 17:06:52.407875",1
384,w,"2019-05-29 17:06:54.967400",3
385,r,"2019-05-29 17:07:04.318116",1
386,r,"2019-05-29 17:07:08.571543",3
387,y,"2019-05-29 17:07:19.049033",1
388,p,"2019-05-29 17:07:51.647654",1
389,*scratching,"2019-05-29 17:08:08.564864",3
390,r,"2019-05-29 17:08:14.216943",1
391,bg,"2019-05-29 17:08:32.262179",1
392,y,"2019-05-29 17:08:44.497867",1
393,*jumping,"2019-05-29 17:09:04.708980",3
394,bw,"2019-05-29 17:09:06.196309",3
395,b,"2019-05-29 17:09:12.365142",1
396,b,"2019-05-29 17:09:13.025547",3
397,"Blue is still yours right ?","2019-05-29 17:09:24.224454",1
398,o,"2019-05-29 17:09:25.671468",1
399,o,"2019-05-29 17:09:26.566373",3
400,yeah,"2019-05-29 17:09:32.605295",3
401,b,"2019-05-29 17:09:33.338260",4
402,"a good boy","2019-05-29 17:09:37.359325",3
403,y,"2019-05-29 17:09:39.797809",1
404,y,"2019-05-29 17:09:41.527139",3
405,*walking,"2019-05-29 17:09:44.326469",4
406,o,"2019-05-29 17:09:47.392410",4
407,r,"2019-05-29 17:09:51.815854",1
408,*torturing,"2019-05-29 17:10:08.962471",1
409,*rolling,"2019-05-29 17:10:11.478095",3
410,g,"2019-05-29 17:10:24.013288",1
411,r,"2019-05-29 17:10:47.479194",1
412,?,"2019-05-29 17:10:59.998476",1
413,bj,"2019-05-29 17:11:12.506135",1
414,b,"2019-05-29 17:11:16.952450",1
415,b,"2019-05-29 17:11:20.641588",3
416,?mybots,"2019-05-29 17:11:30.878418",1
417,?mybots,"2019-05-29 17:11:31.173285",3
418,o,"2019-05-29 17:11:33.037503",1
419,"same idea LUL","2019-05-29 17:11:35.714259",3
420,o,"2019-05-29 17:11:37.803656",3
421,c,"2019-05-29 17:11:45.440704",1
422,c,"2019-05-29 17:11:46.418509",3
423,b,"2019-05-29 17:11:59.388525",1
424,b,"2019-05-29 17:12:00.892894",3
425,bs,"2019-05-29 17:12:17.528627",3
426,"*being lazy","2019-05-29 17:12:21.763835",4
427,?mybots,"2019-05-29 17:12:23.136942",1
428,"didn't udnerstood my bots","2019-05-29 17:12:30.847635",1
429,*hidding,"2019-05-29 17:12:36.005029",3
430,y,"2019-05-29 17:12:55.469833",3
431,o,"2019-05-29 17:12:56.130419",1
432,?,"2019-05-29 17:13:00.173109",1
433,c,"2019-05-29 17:13:11.509330",3
434,w,"2019-05-29 17:13:27.885017",3
435,*walking,"2019-05-29 17:13:31.427967",3
436,?vision,"2019-05-29 17:13:36.887970",1
437,r,"2019-05-29 17:13:38.200472",1
438,g,"2019-05-29 17:13:40.136461",3
439,w,"2019-05-29 17:13:44.230908",4
440,interesting,"2019-05-29 17:13:46.918993",3
441,c,"2019-05-29 17:13:54.542544",1
442,s,"2019-05-29 17:13:55.963531",1
443,"*doing nothing","2019-05-29 17:14:08.235082",4
444,g,"2019-05-29 17:14:19.189332",1
445,?score,"2019-05-29 17:14:27.667527",3
446,c,"2019-05-29 17:14:32.983807",1
447,r,"2019-05-29 17:14:45.953360",1
448,?mybots,"2019-05-29 17:14:57.252201",3
449,*spawning,"2019-05-29 17:15:06.374248",1
450,bs,"2019-05-29 17:15:26.879626",1
451,j,"2019-05-29 17:15:43.685168",1
452,w,"2019-05-29 17:15:43.987176",3
453,r,"2019-05-29 17:15:56.636172",1
454,what?,"2019-05-29 17:15:57.449530",3
455,r,"2019-05-29 17:15:59.695182",3
456,c,"2019-05-29 17:16:09.934785",1
457,bc,"2019-05-29 17:16:11.123835",1
458,j,"2019-05-29 17:16:24.292819",1
459,g,"2019-05-29 17:16:24.549138",3
460,c,"2019-05-29 17:16:30.033475",4
461,"they are good","2019-05-29 17:16:32.707457",3
462,r,"2019-05-29 17:16:37.650951",1
463,bp,"2019-05-29 17:16:50.666145",1
464,s,"2019-05-29 17:17:05.488676",1
465,?familyTree,"2019-05-29 17:17:19.504843",3
466,bs,"2019-05-29 17:17:20.396405",1
467,j,"2019-05-29 17:17:34.864384",1
468,"you don't get that you're not ","2019-05-29 17:17:37.149883",4
469,?evolution,"2019-05-29 17:17:51.123706",3
470,"I think you don't get my purpo","2019-05-29 17:17:53.240303",1
471,bj,"2019-05-29 17:17:59.026379",1
472,g,"2019-05-29 17:18:02.413223",3
473,p,"2019-05-29 17:18:03.327125",1
474,"I guess I don't","2019-05-29 17:18:14.476296",4
475,c,"2019-05-29 17:18:15.217491",1
476,o,"2019-05-29 17:18:19.754081",3
477,p,"2019-05-29 17:18:19.821867",4
478,b,"2019-05-29 17:18:28.622518",3
479,b,"2019-05-29 17:18:29.359831",1
480,*clapping,"2019-05-29 17:18:43.110095",1
481,bg,"2019-05-29 17:18:58.307908",1
482,?,"2019-05-29 17:19:11.660887",3
483,y,"2019-05-29 17:19:14.725986",1
484,?body,"2019-05-29 17:19:33.171543",3
485,o,"2019-05-29 17:19:39.356744",1
486,bo,"2019-05-29 17:19:57.018883",1
487,"*Moving out of the screen","2019-05-29 17:20:02.467406",1
488,c,"2019-05-29 17:20:06.675388",3
489,p,"2019-05-29 17:20:08.946374",1
490,?birth,"2019-05-29 17:20:11.580940",3
491,bj,"2019-05-29 17:20:19.862330",1
492,s,"2019-05-29 17:20:24.314362",3
