



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5067/5063    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:113(parse)
      350    0.000    0.000    0.002    0.000 transforms.py:2013(translate)
       16    0.000    0.000    0.002    0.000 rcsetup.py:740(cycler)
      176    0.001    0.000    0.002    0.000 transforms.py:1981(rotate_deg)
        2    0.000    0.000    0.002    0.001 axis.py:1177(draw)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      940    0.001    0.000    0.002    0.000 __init__.py:1981(_setattr_cm)
       80    0.000    0.000    0.002    0.000 docstring.py:109(dedent_interpd)
        1    0.000    0.000    0.002    0.002 body.py:68(Send_To_Simulator)
        2    0.002    0.001    0.002    0.001 {method 'destroy' of '_macosx.FigureManager' objects}
        2    0.000    0.000    0.002    0.001 database.py:65(Add_Indices)
        1    0.000    0.000    0.002    0.002 population.py:287(Simulate_Competition)
      463    0.000    0.000    0.002    0.000 transforms.py:2536(composite_transform_factory)
       41    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
      367    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      282    0.000    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
        2    0.000    0.000    0.002    0.001 __init__.py:299(loads)
16057/15280    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    20636    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      201    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        2    0.000    0.000    0.002    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.002    0.002 body.py:1(<module>)
       10    0.000    0.000    0.002    0.000 pyparsing.py:2675(__init__)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
      500    0.000    0.000    0.002    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      264    0.000    0.000    0.002    0.000 markers.py:247(_recache)
     4774    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
       60    0.002    0.000    0.002    0.000 {built-in method io.open}
       22    0.000    0.000    0.002    0.000 axis.py:555(_get_text1)
